home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home/name,away/name,home_result,season,0_0,1_0,2_0,id_0,0_1,1_1,2_1,id_1,0_2,1_2,2_2,id_2,0_3,1_3,2_3,id_3,0_4,1_4,2_4,id_4,0_5,1_5,2_5,id_5,0_6,1_6,2_6,id_6,0_7,1_7,2_7,id_7,0_8,1_8,2_8,id_8,0_9,1_9,2_9,id_9,0_10,1_10,2_10,id_10,0_11,1_11,2_11,id_11,0_12,1_12,2_12,id_12,0_13,1_13,2_13,id_13,0_14,1_14,2_14,id_14,0_15,1_15,2_15,id_15,0_16,1_16,2_16,id_16,0_17,1_17,2_17,id_17,0_18,1_18,2_18,id_18,0_19,1_19,2_19,id_19,0_20,1_20,2_20,id_20,0_21,1_21,2_21,id_21,0_22,1_22,2_22,id_22,0_23,1_23,2_23,id_23,0_24,1_24,2_24,id_24,0_25,1_25,2_25,id_25,0_26,1_26,2_26,id_26
21205.0,149484.0,108156.0,47390.0,37339.0,-1.0,122806.0,230046.0,114283.0,-1.0,-1.0,213345.0,193488.0,148508.0,225321.0,126184.0,56917.0,54469.0,41320.0,153682.0,168991.0,152551.0,90105.0,-1.0,75115.0,78007.0,-1.0,Aston Villa,Bournemouth,lose,2019/20,0.6110293719481595,5.904612752554651,0.8820133006190226,21205,-3.139357887475329,-0.1164036934600638,-0.9843859959692404,149484,-2.337431249953369,0.1439504554781084,-0.1887522230930363,108156,-1.774376279571937,-0.4890720221511928,0.1437612430567418,47390,-1.636647153746551,-0.605154373836575,0.3536524417067828,37339,-100.0,-100.0,-100.0,-1,1.2309247948402935,-0.922449549324018,1.0433376381555934,122806,1.2819628925148905,-0.9204860667513836,1.4592622954928132,230046,2.2900556259084657,-0.6956741045995403,0.960806523770384,114283,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,1.9904169441712596,-0.727777761493516,-2.7967854031871133,213345,1.467115805097324,-0.5881122686420481,-0.7801476575247084,193488,1.4289030125420328,-1.0025498514638838,1.2214450117615274,148508,0.8473286012746842,6.874712419607364,1.2117441906196518,225321,-3.5455272963967746,-0.201778875154604,-1.632108741374238,126184,-2.768889879263695,-0.0324724706861282,-0.0953733400232726,56917,-2.0576307628208745,-0.3065714258003646,0.0552056502561467,54469,-1.3095194833657702,-1.4529760158175942,1.1086776185632623,41320,0.4557587250599809,-0.8223494412186295,0.7299111635840785,153682,0.1665535035703587,-0.8097759566424607,1.783579084810942,168991,0.5270113920948108,-0.7049939161259295,-0.0606947673494726,152551,0.1445045222970891,-0.6385347867597723,0.6403578403084723,90105,-100.0,-100.0,-100.0,-1,2.316189700398709,-0.6210563134118439,-5.420763613024546,75115,1.763160835044859,-0.7856256905701933,-1.914164862637947,78007,-100.0,-100.0,-100.0,-1
80201.0,38411.0,39476.0,41270.0,154043.0,-1.0,200089.0,54694.0,242166.0,200641.0,182539.0,59966.0,-1.0,-1.0,98747.0,17761.0,51927.0,68983.0,39487.0,433154.0,60551.0,40145.0,60586.0,-1.0,44699.0,60689.0,-1.0,Arsenal,Burnley,win,2019/20,1.216900611264714,7.283627174390394,1.4737412328626265,80201,-2.360687029800275,0.1909334608243886,0.5335192370248233,38411,-2.14222742658159,0.3064189893730474,0.4721262623804457,39476,-1.8481093706916196,-0.2838062246635314,-1.6658621964275775,41270,-0.2448277997076795,-0.6176370496221982,2.037274464075708,154043,-100.0,-100.0,-100.0,-1,0.7045282256106399,-1.378167707548117,0.7872458514119713,200089,0.8839145054584732,-0.5820939918245295,-0.1705631127609367,54694,0.9516349035488736,-0.5100038706184943,1.3841217191694684,242166,1.363296749449549,-0.2171498253896561,-0.3609835242046487,200641,0.0991722170727975,-0.0352206519704676,0.9283519025745742,182539,1.7142620518196798,-0.8816902479664529,-0.9527342110773296,59966,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,1.270547014125184,6.125388561286315,0.8669844336604335,98747,-3.3755617402400127,-0.5383870090247285,-1.6824397383416765,17761,-3.1033258211650865,0.1572532813200851,-2.194132191683135,51927,-2.026667767127332,0.0759045963435278,-1.0513467677536097,68983,-1.947219272329072,-0.36084453376594,0.0502614248835843,39487,-0.0153391142153686,-1.1171500266326728,2.720193416842784,433154,-0.0587966183142419,-1.008974546573524,1.8591214355459929,60551,0.3713594679059522,-0.869870821675137,0.8103705137057405,40145,-0.0246288587454428,-0.7953405216677487,5.4900951008663705,60586,-100.0,-100.0,-100.0,-1,2.559398982615685,-0.7079188279580942,-3.61717775498036,44699,2.4586219528245943,-0.3471907346903983,-7.625090218653347,60689,-100.0,-100.0,-100.0,-1
109745.0,41328.0,103192.0,135363.0,109533.0,-1.0,184341.0,85955.0,116594.0,-1.0,-1.0,44346.0,176413.0,49579.0,17745.0,218031.0,111931.0,37642.0,37402.0,166989.0,168580.0,197469.0,203341.0,172780.0,101668.0,-1.0,-1.0,Chelsea,Leicester City,draw,2019/20,0.6130741554230138,6.768991739648612,0.7368961682853765,109745,-3.8074167606197618,-0.962881257420464,1.3385037848596155,41328,-3.1224917375745416,0.2695795769246463,-0.392312280108382,103192,-2.5277635441085065,0.3970907137661129,-0.5028092632555623,135363,-1.9714038087715708,0.2792832757093617,0.3666850506013129,109533,-100.0,-100.0,-100.0,-1,0.8906938521973645,-0.8385443000394764,2.265903315158258,184341,0.7740423869816562,-0.6465964472738466,1.3892935902212875,85955,0.412598588860865,-0.2305366643845379,1.1823812350488656,116594,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,2.4041321888017566,-0.6187005659576931,-2.471628352386076,44346,1.8749296666980455,-0.656210846789038,1.5867508415759664,176413,1.258673119056514,-0.0075944203955737,0.8784557041845107,49579,1.1948365835963577,7.327352470403627,0.9967531572198264,17745,-4.509485169093296,-3.310869705961241,-2.077029904089398,218031,-3.1719621744937454,0.1367278312476071,-0.0163631541535076,111931,-2.9581383386662696,-0.7981880020666858,-0.9945597819149544,37642,-1.8203529482673952,0.4402349065527299,0.6424577406817065,37402,1.6553698824508627,-1.149435132906243,2.1530257098049117,166989,1.0756411436942306,-0.998726577171988,0.8327185084225587,168580,0.755104996019325,-0.8445959633213914,1.3812889175125949,197469,-0.3775775783433105,-0.4164417063703807,0.8647196103963343,203341,1.3715557103204608,-0.4047307867118277,-0.3926344584917361,172780,1.7343167091100788,-0.4111486212437419,-3.932580477315021,101668,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1
131897.0,83299.0,78916.0,61933.0,-1.0,-1.0,40845.0,66242.0,109345.0,86153.0,-1.0,20529.0,116216.0,60307.0,37096.0,219924.0,40669.0,81012.0,105717.0,204480.0,217593.0,86934.0,18987.0,54102.0,43020.0,-1.0,-1.0,Brighton and Hove Albion,West Ham United,draw,2019/20,0.8221180788727911,5.635581787302484,0.8052861498354198,131897,-2.9002296862821755,-0.2948167992202971,0.3795363471137019,83299,-2.757163179689153,-0.2921329066342286,-0.4121792870769126,78916,-1.993172808420812,-0.3278058981207922,0.2765840522467244,61933,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,0.1990804604685695,-0.925426783354084,1.208434809377339,40845,0.7304695890262765,-0.6435176552816502,2.21420361364624,66242,0.5478339944800827,-0.6389656482770838,1.4398894460499498,109345,-1.7710674849133006,-0.3651798806110617,-0.1095351561320615,86153,-100.0,-100.0,-100.0,-1,1.638528472658796,-0.2138110796798287,-2.286651656912311,20529,1.2672642539227787,-0.5738308435414571,-0.3201003260922845,116216,0.1610669733900299,-0.438248200230013,0.6654331288023287,60307,1.2865842212267076,7.035507471412406,1.2591016391562595,37096,-2.9317532857497306,0.0623167441057055,-1.6312866855324175,219924,-2.739027978207872,-0.2501401151089798,-1.1458128506448602,40669,-2.70772566413063,-0.6071165662897119,0.4363241448929638,81012,-1.3853314527822551,-0.1019495584279329,0.812128466850531,105717,-0.1800254323052082,-1.097606111020912,1.815080828063321,204480,0.9833900642513654,-0.9964632599421837,0.9577648389357696,217593,0.6833705088045877,-0.9341280977278352,0.844709613986757,86934,0.7187255544697497,-0.8573571788317862,0.6358525038368988,18987,0.531584897396405,0.6716966829685641,-0.1149700487779237,54102,4.019756501110091,-1.5034532373775902,-1.74589377707125,43020,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1
121160.0,57410.0,58621.0,146941.0,206325.0,-1.0,165809.0,103955.0,59859.0,220566.0,61366.0,37572.0,-1.0,-1.0,37915.0,55605.0,173904.0,158534.0,38290.0,62974.0,231372.0,157668.0,45268.0,80607.0,78830.0,-1.0,-1.0,Manchester City,Tottenham Hotspur,draw,2019/20,0.9923221518684592,4.295273427538228,0.4692459223608261,121160,-2.225897459665751,0.3593624648600957,0.366473008819195,57410,-2.0372565389205177,-0.4328982545111667,-0.015310291166832,58621,-1.8567394032721367,1.0292562928478506,0.4374104427238925,146941,-0.6716571707922607,-0.2247818194652993,1.960514518200652,206325,-100.0,-100.0,-100.0,-1,0.7618977111962062,-1.3597438493514376,2.419865157452196,165809,2.0592784268281723,-1.2895807020292125,-0.2140136469205413,103955,0.8629929151890771,-1.2350933794290688,1.935853969146911,59859,0.790831112866845,-1.223387263939096,2.226371255067098,220566,1.208576056486909,-0.9855109906874132,3.618374387521442,61366,2.980311825907931,-1.157836388744183,-0.8490824927210687,37572,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,0.771111932051447,2.8640977491046526,0.1362272187767544,37915,-3.1371668857635395,-0.5229322985512322,-0.5683670575219277,55605,-2.7255797074360286,-0.3591015625609624,-0.1393080976001772,173904,-1.6001869873115735,0.1632627824122178,-0.336957421183477,158534,-1.4525746956220462,0.087341020550092,-0.1104692666951435,38290,0.7601308954023528,-1.5583433572721113,1.3565542281560263,62974,1.1496287868107664,-0.904552717492758,0.7102613539685806,231372,0.2574599362734788,-0.868447879145345,2.163026541982334,157668,0.4245079722440122,-0.707448137312924,0.1391093297437122,45268,0.2735902295570546,-0.4599731372085801,1.3016453343854792,80607,2.227964884609522,-0.8454079933264703,-2.9992850319041837,78830,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1
111234.0,101188.0,106611.0,164511.0,59949.0,-1.0,212319.0,55422.0,100649.0,160987.0,120250.0,177815.0,-1.0,-1.0,9089.0,41338.0,60232.0,54484.0,40868.0,108413.0,121599.0,61566.0,38439.0,-1.0,41725.0,94924.0,-1.0,Everton,Watford,win,2019/20,1.3974504033347284,7.788580783325374,1.7004963714366277,111234,-3.595019981860512,-0.4452025771954002,1.0578429251352792,101188,-3.0504677256256203,0.2694730258526498,-1.9576701494162057,106611,-2.6931068048113955,0.1076524554986289,-0.8290828097474066,164511,-1.8052094066839488,-0.5936473661999959,-0.3880016959981914,59949,-100.0,-100.0,-100.0,-1,1.279985124161083,-1.2655885740626995,-0.5076937088965071,212319,1.077266077998639,-1.0872047059822854,2.589754744288085,55422,0.9759049554370884,-0.7181121379336337,0.7673656641310186,100649,-1.272280584037505,-0.1177121959193068,0.6986504548338232,160987,-0.1785601502996997,-0.0121837057295239,0.984768285776316,120250,2.303661859629885,-0.7315246882263282,-4.038722503631861,177815,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,1.1732847388058196,8.483795053153193,1.1070553152956275,9089,-2.9888527010333528,-0.7724353316232442,-0.3596548095126103,41338,-2.6675272248921664,-0.3753098590662865,-0.8978959342056576,60232,-2.4497093132013803,-0.2186554440266814,-0.4630168208640339,54484,-1.9124201045084768,0.0338706367855525,0.1428833681336147,40868,0.3159563258299611,-1.12338882413085,0.9645498869566628,108413,1.3587364029924802,-0.8617258908716071,1.1873655956324332,121599,1.500514579055508,-0.627295159513762,0.3714885576994423,61566,0.2354150994333056,-0.6108839962709605,1.313194205935621,38439,-100.0,-100.0,-100.0,-1,1.809831181593599,-0.8094747226909048,-2.676363638141526,41725,1.2704830225964343,-0.8139483458349385,-0.4410079446525732,94924,-100.0,-100.0,-100.0,-1
20480.0,198826.0,194799.0,232980.0,83428.0,-1.0,193111.0,90440.0,71738.0,195546.0,87396.0,57127.0,-1.0,-1.0,67089.0,101148.0,106618.0,119471.0,-1.0,76542.0,56983.0,50232.0,153127.0,111773.0,180974.0,179018.0,-1.0,Norwich City,Newcastle United,win,2019/20,1.239797399246733,9.068503144522785,2.390065361355524,20480,-3.224877035995211,0.0072221742948572,-1.3831252194676047,198826,-2.9340118980264105,-0.1680721074223684,-0.7311020754122459,194799,-2.724735247135765,-0.2910208058454062,-0.921741833499262,232980,-2.0244044722562875,0.1456981041336759,-0.0153597622857819,83428,-100.0,-100.0,-100.0,-1,1.43127573220768,-0.8125575232342037,2.252724081390117,193111,-0.250280691174629,-0.4893178221268678,1.111995940059423,90440,1.1389200696315045,-0.3796572409080203,0.2162338974254022,71738,1.3506335071005298,0.1613675367431682,2.7181243979942797,195546,-1.3499631589700367,0.7919099413456212,0.753447961787293,87396,2.234901702884572,-0.7641597192508787,-0.524769767997897,57127,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,1.7231624793555311,7.716313717923115,1.2685198500417747,67089,-2.034188852632255,0.0765572860944033,-0.4789461916762928,101148,-1.9470414488669252,-0.260285321667303,-0.1622377765965846,106618,-1.9202190513098456,0.3185039686089684,-0.5956193465451282,119471,-100.0,-100.0,-100.0,-1,-1.4536662128829063,-1.549994142787568,1.4554640592662416,76542,0.0917009963150259,-1.2789291447442557,1.0123569192881334,56983,0.2342069363117593,-1.1377292226073332,1.143953539231479,50232,0.1811492862632673,-0.8582915545760913,1.6216358741274473,153127,-1.58946202262103,-0.6325898345388428,-0.2356877469709354,111773,1.635168433447355,-0.8161353322045436,-2.146856469582262,180974,1.5469739195316952,-0.9456669843133292,-1.5653636768317103,179018,-100.0,-100.0,-100.0,-1
172649.0,40386.0,108416.0,146610.0,-1.0,-1.0,153723.0,47247.0,79934.0,82691.0,63426.0,171975.0,27436.0,-1.0,40836.0,74230.0,55494.0,58786.0,19188.0,141020.0,50471.0,60252.0,66975.0,-1.0,54861.0,82403.0,-1.0,Sheffield United,Crystal Palace,win,2019/20,1.6425309323042672,7.4612012201353455,0.9996341599367728,172649,-2.947372452444033,-0.1926271192286669,-2.4715194752025744,40386,-2.610530589625057,-0.6047171847328646,-0.4284531062373472,108416,-2.354862902919905,-0.2953190087296094,-0.7276650696564784,146610,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,0.8315630879408227,-1.3139042818397335,0.9582848878155016,153723,0.1479330194704221,-1.11463046743161,1.7962736961093322,47247,0.0241128873967389,-1.019256099583664,2.090663347499316,79934,-2.727848336381109,-0.3043680753509206,-3.384562939514334,82691,-2.4393103046357445,0.0802965501535059,-0.0517823612441693,63426,1.5255938347571854,-0.2667874687310804,-0.5678153878318044,171975,1.4144793410923484,-0.6423276885478454,-2.0493050438690266,27436,-100.0,-100.0,-100.0,-1,1.536535942038339,8.177020945455949,1.60278238313602,40836,-2.66102856084978,0.0970834964085187,0.3013370994402547,74230,-2.315755165222141,-0.3820320536163308,-0.9624660041789952,55494,-2.025899126321608,-0.645922286306306,0.4670088343211537,58786,-1.918371284936073,-0.0235129910718492,-0.2827742614135734,19188,0.4737098134162199,-1.0256407740335751,0.6524304146551329,141020,0.3816747453153546,-0.9845688514134946,1.097023295648363,50471,0.6390005950924782,-0.9584512166700124,1.3368743038461888,60252,-0.0297453747069422,-0.5813301284154092,1.0736502767366067,66975,-100.0,-100.0,-100.0,-1,1.863410283342062,-0.5043749306956451,-1.1910161919483475,54861,1.4417120991712669,-1.2654856775950345,-0.9208931362282377,82403,-100.0,-100.0,-100.0,-1
225321.0,126184.0,56917.0,54469.0,223911.0,41320.0,168991.0,78007.0,152551.0,90105.0,-1.0,75115.0,-1.0,-1.0,121160.0,57410.0,58621.0,146941.0,206325.0,59859.0,61366.0,20664.0,-1.0,-1.0,37572.0,103955.0,165809.0,Bournemouth,Manchester City,lose,2019/20,0.8473286012746842,6.874712419607364,1.2117441906196518,225321,-3.5455272963967746,-0.201778875154604,-1.632108741374238,126184,-2.768889879263695,-0.0324724706861282,-0.0953733400232726,56917,-2.0576307628208745,-0.3065714258003646,0.0552056502561467,54469,-2.0168796907641995,0.6312581889345055,-0.1168091968353225,223911,-1.3095194833657702,-1.4529760158175942,1.1086776185632623,41320,0.1665535035703587,-0.8097759566424607,1.783579084810942,168991,1.763160835044859,-0.7856256905701933,-1.914164862637947,78007,0.5270113920948108,-0.7049939161259295,-0.0606947673494726,152551,0.1445045222970891,-0.6385347867597723,0.6403578403084723,90105,-100.0,-100.0,-100.0,-1,2.316189700398709,-0.6210563134118439,-5.420763613024546,75115,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,0.9923221518684592,4.295273427538228,0.4692459223608261,121160,-2.225897459665751,0.3593624648600957,0.366473008819195,57410,-2.0372565389205177,-0.4328982545111667,-0.015310291166832,58621,-1.8567394032721367,1.0292562928478506,0.4374104427238925,146941,-0.6716571707922607,-0.2247818194652993,1.960514518200652,206325,0.8629929151890771,-1.2350933794290688,1.935853969146911,59859,1.208576056486909,-0.9855109906874132,3.618374387521442,61366,-0.0650054137288302,-0.5949247026811031,0.7482608631605054,20664,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,2.980311825907931,-1.157836388744183,-0.8490824927210687,37572,2.0592784268281723,-1.2895807020292125,-0.2140136469205413,103955,0.7618977111962062,-1.3597438493514376,2.419865157452196,165809
107265.0,171771.0,93100.0,80447.0,-1.0,-1.0,78056.0,213482.0,132015.0,101178.0,40146.0,200439.0,83283.0,-1.0,60706.0,169187.0,122798.0,97032.0,60914.0,81880.0,15157.0,41733.0,-1.0,-1.0,92217.0,118748.0,110979.0,Southampton,Liverpool,lose,2019/20,-0.0523813309826348,2.761212007405492,-0.3396601740454849,107265,-3.1377167201718748,0.0539744062997311,0.4785214010500042,171771,-2.697191829906468,-0.3240462904644743,0.7226221427284722,93100,-1.5470326808595969,0.0629725155606605,-0.1159695661292748,80447,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,-0.6745133256559549,-0.9923015106309088,1.278203013789031,78056,-0.810627577155145,-0.6752890433180557,0.7496967168907408,213482,0.657332909904228,-0.622930406589002,0.1060168095477549,132015,-1.352892896656848,-0.4331005306457905,1.4098674286718966,101178,-2.372546507189641,-0.4186578020552972,-0.2263075280735304,40146,1.980680630006728,-0.6195163530121622,-1.541975535072292,200439,1.083549721415566,-0.6414443906443613,1.485666977745275,83283,-100.0,-100.0,-100.0,-1,0.6585854878473407,4.173457266559272,0.9365460934911948,60706,-3.6101550059756087,-0.6174473000043524,3.0837716480079247,169187,-3.1313966152795087,-0.5942315081131513,1.617365609562859,122798,-2.259503473745671,1.3028000683355117,0.3357203763195658,97032,-2.0966093900531804,0.7229774026090849,0.4854666667202665,60914,1.1742986096604504,-1.1138829951268103,1.4270785105396837,81880,0.5389822564233501,-0.9865157889935012,0.4755789112153021,15157,1.1540701339793202,-0.4802866687150108,1.1806275441430607,41733,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,1.798679328932574,-1.4133129012670975,0.8839647027972302,92217,1.615693769975552,-0.7396799298582251,0.8684440740448958,118748,1.294567291010464,-1.1050745149536154,-1.1953512597356335,110979
38533.0,90585.0,94147.0,41727.0,-1.0,-1.0,171317.0,151589.0,19624.0,114128.0,87835.0,102057.0,194634.0,-1.0,51940.0,214590.0,95658.0,184667.0,106760.0,109322.0,200617.0,176297.0,195851.0,74208.0,148225.0,-1.0,-1.0,Wolverhampton Wanderers,Manchester United,draw,2019/20,1.7452934007288174,8.306295944341151,0.8973431324515013,38533,-2.162743690951563,-0.2214396286721107,-0.8903025549839019,90585,-1.7595878880871496,-0.4387643391213675,-2.3642534035437635,94147,-1.578656222321506,-0.5649327950875606,0.1206361223624961,41727,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,1.6269519796923528,-1.2776365549185291,2.0557414031079,171317,-0.1623055197212886,-0.7622830467912187,0.9436812841828076,151589,-0.4123649537659297,-0.684368366702799,2.3322002219497,19624,-2.092008406032782,-0.1496636154364048,0.663095692042992,114128,-3.0116373510087824,-0.0533999855728939,-1.199147380228856,87835,2.1963423227236065,-1.090382082258836,-1.8395581189687369,102057,1.7653465070772445,-1.1367547221835437,0.1013863195114819,194634,-100.0,-100.0,-100.0,-1,1.4460735062418313,7.081245338131861,1.4235435793783031,51940,-3.1697866448789576,-0.7007003929671721,0.7511407741193601,214590,-2.4419788159315203,-0.5887874117617912,-1.4602927439308164,95658,-2.3117089248232183,-0.0841714528438659,-1.3631121890421496,184667,-1.7761887926035762,-0.2064767192290765,-0.5368694114977521,106760,1.225496364848979,-1.1034443992653769,0.2874859381388257,109322,1.5820944381707316,-0.7642270189284223,2.923541772830651,200617,1.8870668534293975,-0.7159084040514857,-0.6726021117642819,176297,1.0250485900229986,-0.6932232017603871,0.8173816562603283,195851,0.9001440394861855,0.5587124722951523,0.1288943922458144,74208,2.29765272518693,-0.476737334520693,-1.5607386035591757,148225,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1
131897.0,83299.0,78916.0,61933.0,-1.0,-1.0,40845.0,66242.0,109345.0,86153.0,-1.0,93284.0,115382.0,116216.0,107265.0,171771.0,93100.0,135720.0,213482.0,78056.0,83283.0,132015.0,101178.0,-1.0,200439.0,84939.0,-1.0,Brighton and Hove Albion,Southampton,lose,2019/20,0.8221180788727911,5.635581787302484,0.8052861498354198,131897,-2.9002296862821755,-0.2948167992202971,0.3795363471137019,83299,-2.757163179689153,-0.2921329066342286,-0.4121792870769126,78916,-1.993172808420812,-0.3278058981207922,0.2765840522467244,61933,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,0.1990804604685695,-0.925426783354084,1.208434809377339,40845,0.7304695890262765,-0.6435176552816502,2.21420361364624,66242,0.5478339944800827,-0.6389656482770838,1.4398894460499498,109345,-1.7710674849133006,-0.3651798806110617,-0.1095351561320615,86153,-100.0,-100.0,-100.0,-1,4.453647803217803,-1.793256996766613,-1.1464549808742075,93284,2.126068214850282,-0.96122466441424,-0.950067010517912,115382,1.2672642539227787,-0.5738308435414571,-0.3201003260922845,116216,-0.0523813309826348,2.761212007405492,-0.3396601740454849,107265,-3.1377167201718748,0.0539744062997311,0.4785214010500042,171771,-2.697191829906468,-0.3240462904644743,0.7226221427284722,93100,-0.9847217608284742,-0.4974490391450578,0.392896516437122,135720,-0.810627577155145,-0.6752890433180557,0.7496967168907408,213482,-0.6745133256559549,-0.9923015106309088,1.278203013789031,78056,1.083549721415566,-0.6414443906443613,1.485666977745275,83283,0.657332909904228,-0.622930406589002,0.1060168095477549,132015,-1.352892896656848,-0.4331005306457905,1.4098674286718966,101178,-100.0,-100.0,-100.0,-1,1.980680630006728,-0.6195163530121622,-1.541975535072292,200439,1.383542835115214,-0.9322699006252734,0.0701665359373705,84939,-100.0,-100.0,-100.0,-1
60706.0,169187.0,122798.0,97032.0,60914.0,-1.0,56979.0,116643.0,41733.0,-1.0,-1.0,92217.0,118748.0,110979.0,80201.0,38411.0,39476.0,41270.0,154043.0,200089.0,84450.0,242166.0,182539.0,-1.0,54694.0,195735.0,-1.0,Liverpool,Arsenal,win,2019/20,0.6585854878473407,4.173457266559272,0.9365460934911948,60706,-3.6101550059756087,-0.6174473000043524,3.0837716480079247,169187,-3.1313966152795087,-0.5942315081131513,1.617365609562859,122798,-2.259503473745671,1.3028000683355117,0.3357203763195658,97032,-2.0966093900531804,0.7229774026090849,0.4854666667202665,60914,-100.0,-100.0,-100.0,-1,0.1080515676261254,-1.4034531158054593,2.5273455606178974,56979,0.1275312815698016,-1.0020257544619535,2.3881424340512165,116643,1.1540701339793202,-0.4802866687150108,1.1806275441430607,41733,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,1.798679328932574,-1.4133129012670975,0.8839647027972302,92217,1.615693769975552,-0.7396799298582251,0.8684440740448958,118748,1.294567291010464,-1.1050745149536154,-1.1953512597356335,110979,1.216900611264714,7.283627174390394,1.4737412328626265,80201,-2.360687029800275,0.1909334608243886,0.5335192370248233,38411,-2.14222742658159,0.3064189893730474,0.4721262623804457,39476,-1.8481093706916196,-0.2838062246635314,-1.6658621964275775,41270,-0.2448277997076795,-0.6176370496221982,2.037274464075708,154043,0.7045282256106399,-1.378167707548117,0.7872458514119713,200089,0.0647976819170331,-0.5920088663530513,-0.2253037698720355,84450,0.9516349035488736,-0.5100038706184943,1.3841217191694684,242166,0.0991722170727975,-0.0352206519704676,0.9283519025745742,182539,-100.0,-100.0,-100.0,-1,0.8839145054584732,-0.5820939918245295,-0.1705631127609367,54694,0.8132962838241915,-0.6138041587618646,1.5558497399268527,195735,-100.0,-100.0,-100.0,-1
21205.0,149484.0,203368.0,108156.0,47390.0,-1.0,148508.0,122806.0,230046.0,114283.0,89274.0,213345.0,-1.0,-1.0,111234.0,101188.0,106611.0,164511.0,59949.0,212319.0,55422.0,100649.0,42774.0,120250.0,177815.0,-1.0,-1.0,Aston Villa,Everton,win,2019/20,0.6110293719481595,5.904612752554651,0.8820133006190226,21205,-3.139357887475329,-0.1164036934600638,-0.9843859959692404,149484,-2.663302031614132,-0.1419843766630358,-0.1353353334868531,203368,-2.337431249953369,0.1439504554781084,-0.1887522230930363,108156,-1.774376279571937,-0.4890720221511928,0.1437612430567418,47390,-100.0,-100.0,-100.0,-1,1.4289030125420328,-1.0025498514638838,1.2214450117615274,148508,1.2309247948402935,-0.922449549324018,1.0433376381555934,122806,1.2819628925148905,-0.9204860667513836,1.4592622954928132,230046,2.2900556259084657,-0.6956741045995403,0.960806523770384,114283,0.7249950185667953,-0.4117749483650363,0.2538451383349855,89274,1.9904169441712596,-0.727777761493516,-2.7967854031871133,213345,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1,1.3974504033347284,7.788580783325374,1.7004963714366277,111234,-3.595019981860512,-0.4452025771954002,1.0578429251352792,101188,-3.0504677256256203,0.2694730258526498,-1.9576701494162057,106611,-2.6931068048113955,0.1076524554986289,-0.8290828097474066,164511,-1.8052094066839488,-0.5936473661999959,-0.3880016959981914,59949,1.279985124161083,-1.2655885740626995,-0.5076937088965071,212319,1.077266077998639,-1.0872047059822854,2.589754744288085,55422,0.9759049554370884,-0.7181121379336337,0.7673656641310186,100649,-0.8376594750273518,-0.6409606620672365,1.2385195410523628,42774,-0.1785601502996997,-0.0121837057295239,0.984768285776316,120250,2.303661859629885,-0.7315246882263282,-4.038722503631861,177815,-100.0,-100.0,-100.0,-1,-100.0,-100.0,-100.0,-1
